time,open,high,low,close,volume
2026-07-15T19:00:00.000Z,29350,29352,29347,29349,1
2026-07-15T19:01:00.000Z,29349,29352,29347,29350,1
2026-07-15T19:02:00.000Z,29350,29353,29348,29351,1
2026-07-15T19:03:00.000Z,29351,29353,29348,29350,1
2026-07-15T19:04:00.000Z,29350,29353,29348,29351,1
2026-07-15T19:05:00.000Z,29351,29354,29349,29352,1
2026-07-15T19:06:00.000Z,29352,29354,29349,29351,1
2026-07-15T19:07:00.000Z,29351,29354,29349,29352,1
2026-07-15T19:08:00.000Z,29352,29355,29350,29353,1
2026-07-15T19:09:00.000Z,29353,29355,29350,29352,1
2026-07-15T19:10:00.000Z,29352,29355,29350,29353,1
2026-07-15T19:11:00.000Z,29353,29356,29351,29354,1
2026-07-15T19:12:00.000Z,29354,29356,29351,29353,1
2026-07-15T19:13:00.000Z,29353,29356,29351,29354,1
2026-07-15T19:14:00.000Z,29354,29357,29352,29355,1
2026-07-15T19:15:00.000Z,29355,29357,29352,29354,1
2026-07-15T19:16:00.000Z,29354,29357,29352,29355,1
2026-07-15T19:17:00.000Z,29355,29358,29353,29356,1
2026-07-15T19:18:00.000Z,29356,29358,29353,29355,1
2026-07-15T19:19:00.000Z,29355,29358,29353,29356,1
2026-07-15T19:20:00.000Z,29356,29359,29354,29357,1
2026-07-15T19:21:00.000Z,29357,29359,29354,29356,1
2026-07-15T19:22:00.000Z,29356,29359,29354,29357,1
2026-07-15T19:23:00.000Z,29357,29360,29355,29358,1
2026-07-15T19:24:00.000Z,29358,29360,29355,29357,1
2026-07-15T19:25:00.000Z,29357,29360,29355,29358,1
2026-07-15T19:26:00.000Z,29358,29361,29356,29359,1
2026-07-15T19:27:00.000Z,29359,29361,29356,29358,1
2026-07-15T19:28:00.000Z,29358,29361,29356,29359,1
2026-07-15T19:29:00.000Z,29359,29362,29357,29360,1
2026-07-15T19:30:00.000Z,29360,29362,29357,29359,1
2026-07-15T19:31:00.000Z,29359,29362,29357,29360,1
2026-07-15T19:32:00.000Z,29360,29363,29358,29361,1
2026-07-15T19:33:00.000Z,29361,29363,29358,29360,1
2026-07-15T19:34:00.000Z,29360,29363,29358,29361,1
2026-07-15T19:35:00.000Z,29361,29364,29359,29362,1
2026-07-15T19:36:00.000Z,29362,29364,29359,29361,1
2026-07-15T19:37:00.000Z,29361,29364,29359,29362,1
2026-07-15T19:38:00.000Z,29362,29365,29360,29363,1
2026-07-15T19:39:00.000Z,29363,29365,29360,29362,1
2026-07-15T19:40:00.000Z,29362,29365,29360,29363,1
2026-07-15T19:41:00.000Z,29363,29366,29361,29364,1
2026-07-15T19:42:00.000Z,29364,29366,29361,29363,1
2026-07-15T19:43:00.000Z,29363,29366,29361,29364,1
2026-07-15T19:44:00.000Z,29364,29367,29362,29365,1
2026-07-15T19:45:00.000Z,29365,29367,29362,29364,1
2026-07-15T19:46:00.000Z,29364,29367,29362,29365,1
2026-07-15T19:47:00.000Z,29365,29368,29363,29366,1
2026-07-15T19:48:00.000Z,29366,29368,29363,29365,1
2026-07-15T19:49:00.000Z,29365,29368,29363,29366,1
2026-07-15T19:50:00.000Z,29366,29369,29364,29367,1
2026-07-15T19:51:00.000Z,29367,29369,29364,29366,1
2026-07-15T19:52:00.000Z,29366,29369,29364,29367,1
2026-07-15T19:53:00.000Z,29367,29370,29365,29368,1
2026-07-15T19:54:00.000Z,29368,29370,29365,29367,1
2026-07-15T19:55:00.000Z,29367,29370,29365,29368,1
2026-07-15T19:56:00.000Z,29368,29371,29366,29369,1
